"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"149331805154700","Tom Mulcair","Women’s rights. A national drug plan. Dump C-51. BuzzFeed gives a rundown of the NDP platform:","2015-10-10T16:37:52+0000","link","http://www.buzzfeed.com/emmaloop/here-are-the-highlights-of-the-ndp-election-platform#.ppmp41zzy","149331805154700_896580753763131",4601,393,1551
"149331805154700","Tom Mulcair","This election is about who can be trusted to fight for what matters most to middle-class families. // Cette élection déterminera qui va se battre pour la santé, pour les emplois et pour l’environnement.","2015-10-10T15:48:33+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896566133764593/?type=3","149331805154700_896566133764593",759,86,127
"149331805154700","Tom Mulcair","Only the NDP will make profitable corporations pay their fair share so we can improve health care. #Ready4Change","2015-10-10T12:26:03+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896502143770992/?type=3","149331805154700_896502143770992",1294,115,757
"149331805154700","Tom Mulcair","Seul le NPD va demander aux entreprises rentables de payer leur juste part afin qu’on puisse investir en santé. #Ensemble2015","2015-10-10T12:25:18+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896501907104349/?type=3","149331805154700_896501907104349",217,26,84
"149331805154700","Tom Mulcair",NA,"2015-10-10T11:58:45+0000","photo","https://www.facebook.com/TomMulcair/photos/a.348310831923462.84295.149331805154700/896494980438375/?type=3","149331805154700_896495060438367",411,37,47
"149331805154700","Tom Mulcair","Braved the rain today to do the most important thing this election: vote. I encourage everyone to vote early. // Après la pluie, le beau temps. J’ai voté par anticipation aujourd'hui. Faites-le vous aussi. —TM","2015-10-09T21:14:45+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896270280460845/?type=3","149331805154700_896270280460845",3290,298,496
"149331805154700","Tom Mulcair","Tom just cast his ballot in the advance polls. Find out what you need to cast yours. #Ready4Change","2015-10-09T18:53:48+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896228280465045/?type=3","149331805154700_896228280465045",679,82,775
"149331805154700","Tom Mulcair","Tom vient de déposer son bulletin de vote. Assurez-vous d’avoir ce dont vous avez besoin lors du vote par anticipation. #Ensemble2015","2015-10-09T18:52:40+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896227270465146/?type=3","149331805154700_896227270465146",49,19,24
"149331805154700","Tom Mulcair","This election is about the country we want, the country of our dreams. Read our plan:","2015-10-09T16:24:16+0000","link","http://www.ndp.ca/platform","149331805154700_896181013803105",4447,386,1545
"149331805154700","Tom Mulcair","Cette élection nous offre la chance de bâtir le pays de nos rêves. Lisez notre plan :","2015-10-09T16:22:36+0000","link","http://www.npd.ca/plateforme","149331805154700_896180573803149",961,330,319
"149331805154700","Tom Mulcair","Advance polls open in 3 hours. Find out where to vote and cast your ballot in the advance polls today through to October 12th: www.ndp.ca/where-to-vote #Ready4Change","2015-10-09T13:18:05+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896116013809605/?type=3","149331805154700_896116013809605",967,118,367
"149331805154700","Tom Mulcair","La vote par anticipation commence dans 3 heures. Aidez-nous à écrire une page d’histoire, trouvez votre bureau de scrutin et votez par anticipation à partir d'aujourd’hui jusqu’au 12 octobre : www.npd.ca/ou-voter  #Ensemble2015","2015-10-09T13:15:30+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/896115097143030/?type=3","149331805154700_896115097143030",193,25,92
"149331805154700","Tom Mulcair",NA,"2015-10-09T12:33:56+0000","photo","https://www.facebook.com/TomMulcair/photos/a.348310831923462.84295.149331805154700/896099160477957/?type=3","149331805154700_896099310477942",489,56,63
"149331805154700","Tom Mulcair","“With Tom Mulcair, the Canada of our dreams, of my father’s dreams, is within reach. Now is our moment so let’s make it count.” —Mike Layton #Ready4Change","2015-10-09T10:53:41+0000","video","https://www.facebook.com/TomMulcair/videos/896067370481136/","149331805154700_896067370481136",1464,202,1031
"149331805154700","Tom Mulcair","Another great way to help the campaign – vote early and pitch in. #Ready4Change","2015-10-08T23:33:52+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895911600496713/?type=3","149331805154700_895911600496713",564,76,119
"149331805154700","Tom Mulcair","Votez par anticipation et ensuite aidez-nous. Une autre façon de propulser la campagne. #Ensemble2015","2015-10-08T23:32:38+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895909787163561/?type=3","149331805154700_895909787163561",81,13,24
"149331805154700","Tom Mulcair","In the middle of an election campaign, Stephen Harper has no mandate to agree to a deal that sells out Canadian interests. Add your name:","2015-10-08T22:25:55+0000","link","http://www.ndp.ca/tpp","149331805154700_895880713833135",2224,224,754
"149331805154700","Tom Mulcair","In the middle of an election campaign, Stephen Harper has no mandate to agree to a deal that sells out Canadian interests. Add your name:","2015-10-08T22:12:55+0000","link","http://www.ndp.ca/tpp","149331805154700_895877727166767",120,22,35
"149331805154700","Tom Mulcair","En pleine campagne électorale, Stephen Harper n’a pas la légitimité pour ratifier un accord qui liquide les intérêts canadiens. Ajoutez votre nom :","2015-10-08T22:11:54+0000","link","http://www.npd.ca/ptp","149331805154700_895877387166801",25,7,3
"149331805154700","Tom Mulcair","Check out our new online tool to find out where you can vote during the advance polls starting tomorrow. #Ready4Change","2015-10-08T19:05:16+0000","link","http://www.ndp.ca/where-to-vote","149331805154700_895828290505044",432,55,306
"149331805154700","Tom Mulcair","Découvrez notre nouvel outil et apprenez-en plus sur le vote par anticipation. #Ensemble2015","2015-10-08T19:04:18+0000","link","http://www.npd.ca/ou-voter","149331805154700_895828020505071",45,10,18
"149331805154700","Tom Mulcair","Sitting down with our ""On Tour with Tom"" contest winners Sara Dhooma from Kitchener, ON and Raquel De Queiroz from Whitehorse, YT. // Un réel plaisir de discuter avec Sara Dhooma de Kitchener (ON) et Raquel De Queiroz de Whitehorse (YT), les gagnantes du concours « À bord avec Tom ».","2015-10-08T18:29:20+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895818800505993/?type=3","149331805154700_895818800505993",330,22,33
"149331805154700","Tom Mulcair","Tom and the NDP will make your prescription drugs more affordable. #Ready4Change","2015-10-08T14:47:09+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895746100513263/?type=3","149331805154700_895746100513263",2902,215,1426
"149331805154700","Tom Mulcair","Tom et le NPD réduiront le coût des médicaments d’ordonnance. #Ensemble2015","2015-10-08T14:46:39+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895744337180106/?type=3","149331805154700_895744337180106",259,20,65
"149331805154700","Tom Mulcair","Let’s cheer on Canada’s team. Go Jays go. #ComeTogether","2015-10-08T13:50:14+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895720487182491/?type=3","149331805154700_895720487182491",1061,39,149
"149331805154700","Tom Mulcair","L’équipe du NPD vous encourage partout à travers le pays. Go Jays go. #ComeTogether","2015-10-08T13:49:38+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895720057182534/?type=3","149331805154700_895720057182534",84,8,13
"149331805154700","Tom Mulcair","The NDP will invest in Indigenous communities. #Ready4Change","2015-10-08T12:07:09+0000","photo","https://www.facebook.com/NDP.NPD/photos/a.482158681820342.93977.190502667652613/926932280676311/?type=3","149331805154700_895690040518869",1568,95,0
"149331805154700","Tom Mulcair","Le NPD investira dans les communautés autochtones. #Ensemble2015","2015-10-08T10:47:41+0000","photo","https://www.facebook.com/NDP.NPD/photos/a.482158681820342.93977.190502667652613/926931917343014/?type=3","149331805154700_895669927187547",186,9,0
"149331805154700","Tom Mulcair",NA,"2015-10-08T10:41:07+0000","photo","https://www.facebook.com/TomMulcair/photos/a.348310831923462.84295.149331805154700/895667490521124/?type=3","149331805154700_895667537187786",287,32,40
"149331805154700","Tom Mulcair","Meeting with, and listening to, community elders at the AFN Open Forum. // À la rencontre et à l’écoute d’aînés autochtones lors du Forum ouvert de l’APN.","2015-10-07T23:38:47+0000","photo","https://www.facebook.com/TomMulcair/photos/a.187109341376946.48540.149331805154700/895518443869362/?type=3","149331805154700_895519763869230",1164,56,224
